City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
305,Morant Bay,JM,17.8815,-76.4093,86.63,73,96,4.59
306,Puerto Carreno,CO,6.189,-67.4859,87.89,62,92,4.36
307,Bayonet Point,US,28.3267,-82.6834,86.0,62,0,4.0
308,Richards Bay,ZA,-28.783,32.0377,60.62,89,100,15.61
309,Scarborough,GB,54.2797,-0.4044,57.52,88,66,1.99
310,Westport,US,41.1415,-73.3579,64.45,54,20,3.0
311,Doha,QA,25.2867,51.5333,84.18,81,0,2.3
312,Baoqing,CN,46.3317,132.2111,27.18,37,100,3.69
313,Trincomalee,LK,8.5711,81.2335,81.75,73,93,19.8
314,Mitsamiouli,KM,-11.3847,43.2844,76.96,77,1,14.74
315,Severnyy,RU,50.677,36.5532,42.84,81,96,4.47
316,Mayo,US,38.8876,-76.5119,65.95,43,40,13.0
317,Savannah Bight,HN,16.45,-85.85,87.85,67,99,4.21
318,Quang Ngai,VN,15.1167,108.8,75.9,93,100,1.83
319,Zhangye,CN,38.9342,100.4517,42.96,29,57,2.39
320,Anadyr,RU,64.75,177.4833,26.01,73,100,15.01
321,San Mateo,US,37.4499,-122.3511,72.97,56,40,5.01
322,Nizhnevartovsk,RU,60.9344,76.5531,41.02,100,90,8.95
323,Naifaru,MV,5.4444,73.3657,80.44,82,100,26.78
324,Pivijay,CO,10.4617,-74.6162,86.09,80,100,6.17
325,Barrow,US,71.2906,-156.7887,21.22,79,90,3.44
326,Takoradi,GH,4.8845,-1.7554,79.2,85,47,10.87
327,Lata,PT,40.1629,-8.3327,67.05,98,100,1.57
328,Canmore,CA,51.0834,-115.3521,70.25,36,44,5.59
329,Frolovo,RU,49.7713,43.6622,51.66,71,96,3.83
330,Agadez,NE,19.75,10.25,84.04,27,93,4.65
331,Coahuayana,MX,18.7333,-103.6833,90.88,60,8,6.29
332,Vila Velha,BR,-20.3297,-40.2925,73.33,90,99,10.45
333,Ryotsu,JP,38.0833,138.4333,51.37,65,54,4.72
334,Kloulklubed,PW,7.0419,134.2556,84.16,74,95,10.16
335,Deniliquin,AU,-35.5333,144.9667,50.77,66,89,7.09
