City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
613,Bandarbeyla,SO,77.38,9.4942,50.8122,JABIR HOTEL
617,Baghmara,IN,76.03,23.795,86.2085,Shankar tea shop
619,Amli,IN,75.24,20.2833,73.0167,Pluz Resort
623,Kyabe,TD,73.24,9.4515,18.9449,
624,Kroya,ID,75.2,-7.6331,109.2461,RUSTANTO Fam
625,Knoxville,US,67.28,35.9606,-83.9207,Hilton Knoxville
626,Colorado,BR,75.87,-22.8375,-51.9731,Hotel Bandeirantes
630,Majene,ID,78.21,-3.5403,118.9707,Kost Putri RABBANI
632,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,Valle Aridane
636,Pisco,PE,68.05,-13.7,-76.2167,Hotel San Isidro Oficial
638,Sri Aman,MY,73.31,1.2376,111.4621,Seri Simanggang Hotel
639,Sungairaya,ID,77.94,0.7,108.9,Mess P.Milu
640,Bom Jesus Do Galho,BR,76.59,-19.8289,-42.3161,Hotel e Restaurante 'Seachegue'
642,Pouebo,NC,76.12,-20.4,164.5667,RIVÂT LODGE
644,Mackay,AU,75.04,-21.15,149.2,International Lodge Motel
647,Bourail,NC,75.2,-21.5667,165.4833,Motel Allamanda
655,Marzuq,YE,76.82,14.4,46.4667,
656,Jalu,LY,71.17,29.0331,21.5482,صاحبة الفخامة
657,Marawi,PH,66.65,7.9986,124.2928,Derogongan Residence
659,General Pico,AR,72.63,-35.6566,-63.7568,Euskadi Hotel
663,Haripur,PK,69.01,34.0,72.9341,Shah Zaman Hotel
665,Abu Kamal,SY,73.98,34.4506,40.9171,محطة التلفاز
667,Khandbari,NP,67.93,27.3747,87.2039,Sainik Hotel And Lodge
678,Song Phi Nong,TH,76.98,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
